author,author-pid,top_venue_count,total_weight,closeness_centrality,normalized_degree_centrality
Yueting Zhuang,218/7793,2,26,0.2245343413340223,0.002649276543713063
Yue Gao 0002,33/3099-2,2,26,0.2449385137631234,0.002649276543713063
Zhifeng Bao,20/3716,2,25,0.2217241593476346,0.002547381292031791
Xiaoming Chen,72/2676,2,25,0.2398185062634276,0.002547381292031791
Xiangang Cheng,92/5664,2,24,0.2333040951826966,0.0024454860403505196
Lei Yang,50/2484,2,24,0.2098988708490941,0.0024454860403505196
Qiming Ai,255/6169,2,24,0.2205054627271069,0.0024454860403505196
Kong-Wah Wan,62/8429,2,22,0.2634295297142306,0.0022416955369879764
Jianke Zhu,773129,2,22,0.2675323344191547,0.0022416955369879764
Yining Li,166/3420,2,22,0.2021341887626179,0.0022416955369879764
Tak-Wai Hui,77/10109,2,22,0.2021210482335255,0.0022416955369879764
Ming Jiang,02/10377,2,20,0.2429385079271923,0.002037905033625433
Jiaheng Lu,l/JiahengLu,2,19,0.2476109604151003,0.0019360097819441614
Xin Xu,66/3874,2,19,0.2508371943890445,0.0019360097819441614
Bryan L. Koenig,139/6464,2,17,0.2429385079271923,0.0017322192785816182
Timothy M. Hospedales,32/3545,2,16,0.202147331000436,0.0016303240269003464
Wook-Shin Han,62/2450,2,15,0.2393385184906052,0.0015284287752190748
Weide Liu,261/9166,2,14,0.2792211068210334,0.0014265335235378032
Lucas Vinh Tran,242/7881,2,14,0.2524666686522295,0.0014265335235378032
Jiashi Feng,56/8278,2,14,0.1644518684254843,0.0014265335235378032
Victor Junqiu Wei,199/6298,2,13,0.2185908548846772,0.0013246382718565316
Qi He,51/6972,2,12,0.2684215681992754,0.0012227430201752598
Ehsan Shahrian Varnousfaderani,72/4723,2,12,0.2243156469429102,0.0012227430201752598
Kai Huang,86/489,2,12,0.1989713953956359,0.0012227430201752598
Guojie Song,37/2900,2,11,0.2495086288782768,0.0011208477684939882
Kunqing Xie,4901,2,11,0.2495086288782768,0.0011208477684939882
Qi Zhao 0001,05/490-1,2,11,0.2429385079271923,0.0011208477684939882
Seongyun Ko,181/5722,2,11,0.2393385184906052,0.0011208477684939882
Changjiu Jin,38/8165,2,11,0.2470502204570685,0.0011208477684939882
Xiang Wang 0010,31/2864-10,2,11,0.2396336679218626,0.0011208477684939882
Shuang Wu,85/3231,2,10,0.2543357212525835,0.0010189525168127166
Jun He,75/5705,2,10,0.2395967344393486,0.0010189525168127166
Raj Kumar Gupta,60/6029,2,9,0.2243237391379658,0.0009170572651314449
Shumo Chu,29/9582,2,9,0.2345448871795569,0.0009170572651314449
Kai Kang,69/6765,2,9,0.2021276182845018,0.0009170572651314449
Meishan Hu,98/2782,2,9,0.2504936371617956,0.0009170572651314449
David Uminsky,744762,2,9,0.0027395572155102,0.0009170572651314449
Roberto Cipolla,c/RobertoCipolla,2,8,0.2263405543225863,0.0008151620134501732
Jiong Yang,64/5141,2,8,0.2507866121760199,0.0008151620134501732
Jacob Chan,186/8252,2,8,0.1940233407876818,0.0008151620134501732
Jimmy Addison Lee,33/3919,2,8,0.1940233407876818,0.0008151620134501732
Yinglong Song,192/4763,2,8,0.2422193069844349,0.0008151620134501732
Ling Shen,18/6196,2,8,0.2396151997574049,0.0008151620134501732
William Hutama,81/9541,2,7,0.2282095584594984,0.0007132667617689016
Min Xie,36/844,2,7,0.2185985392991779,0.0007132667617689016
Xiang Chen,64/3062,2,6,0.2449674617437919,0.0006113715100876299
Surendra Sedhai,147/9076,2,6,0.2448613525853283,0.0006113715100876299
Grace E. Lee,174/6820,2,5,0.2448613525853283,0.0005094762584063583
A. Prasad Vinod,92/249,0,159,0.258211695411694,0.01620134501732219
Rajendra Prasad Sirigina,82/8861,0,90,0.199239155684217,0.009170572651314449
Francois P. S. Chin,c/FrancoisPSChin,0,107,0.2118872133064508,0.010902791929896067
Walid Saad,41/6237,0,88,0.226455954292014,0.008966782147951905
A. Benjamin Premkumar,81/2641,0,148,0.2390900510959863,0.015080497248828205
Ying-Chang Liang,98/153,0,170,0.2387228980691191,0.01732219278581618
Yutao Jiao,159/1492,0,82,0.1989204750129371,0.008355410637864276
Daniel Thalmann,t/DanielThalmann,0,83,0.2787454746684783,0.008457305889545547
Shivam Bhasin,94/7837,0,154,0.2173530724214203,0.015691868758915834
Debjyoti Bhattacharjee,160/7918,0,78,0.2191995928124793,0.00794782963113919
Debdeep Mukhopadhyay,85/3079,0,89,0.2293373920817442,0.009068677399633178
Rainer Leupers,14/6306,0,139,0.2166186180207766,0.01416343998369676
Gerd Ascheid,1255006,0,132,0.2166110721741879,0.013450173221927857
Alok Prakash,58/7646,0,105,0.2319292099848724,0.010699001426533523
David Kammler,20/3849,0,78,0.2165054854950877,0.00794782963113919
Heinrich Meyr,72/1999,0,99,0.216543183204639,0.010087629916445894
Karl Aberer,a/KarlAberer,0,83,0.2687115530402495,0.008457305889545547
Hui Fang 0002,03/2511-2,0,96,0.2924448125337165,0.009781944161402078
Milind Tambe,67/2667,0,166,0.235763186688319,0.016914611779091093
Xiaohong Li 0001,08/2489-1,0,89,0.258738153742954,0.009068677399633178
Lizhen Cui,82/5713,0,162,0.2807084709689605,0.016507030772366007
Cyril Leung,76/3131,0,390,0.3166439580865879,0.039739148155695944
Yuan Miao 0001,74/1798-1,0,91,0.2723362698245703,0.009272467902995721
Chuan Heng Foh,17/6484,0,185,0.2860940441179854,0.018850621561035254
Wen Gao 0001,g/WenGao,0,121,0.2759988481537689,0.01232932545343387
Chenwei Deng,73/8538,0,92,0.2882691599325211,0.009374363154676992
Guangtao Zhai,19/3230,0,144,0.2645615235238433,0.014672916242103118
Xiaokang Yang,427852,0,250,0.2708652719825941,0.025473812920317914
Wenjun Zhang 0001,46/3359-1,0,104,0.2629505264252543,0.010597106174852253
Alois C. Knoll,k/AloisKnoll,0,97,0.2378554124968218,0.00988383941308335
Linbo Luo,53/803,0,107,0.2535579044570386,0.010902791929896067
Jinghui Zhong,56/443,0,90,0.2686535059580235,0.009170572651314449
Liang Feng,1381166,0,180,0.2561904271961278,0.018341145302628897
Michael Harold Lees,97/1049,0,123,0.268549084383693,0.012533115956796414
Zengxiang Li,95/6812,0,113,0.2797612835247408,0.011514163439983696
Suiping Zhou,22/2383,0,212,0.2810510304589566,0.021601793356429592
Stephen John Turner,t/StephenJohnTurner,0,369,0.2798998041458594,0.03759934787038924
Yinxing Xue,73/7055,0,146,0.2679358001079117,0.014876706745465661
Tian Huat Tan,2908122,0,78,0.2386221285891405,0.00794782963113919
Jun Sun 0001,s/JunSun1,0,549,0.2849012209706045,0.055940493173018135
Malcolm Yoke-Hean Low,l/MalcolmYokeHeanLow,0,252,0.26917683428875,0.025677603423680456
Boon-Ping Gan,20/4420,0,94,0.2499398709314849,0.009578153658039535
David Chen 0002,25/3482-2,0,83,0.2244289908291916,0.008457305889545547
Haifeng Shen,39/4885,0,97,0.256084920883964,0.00988383941308335
Terence Hung,23/6574,0,79,0.2681206471586932,0.00804972488282046
Wen-Jing Hsu,26/4850,0,111,0.2657600670529282,0.011310372936621153
Min Wu 0008,16/0-8,0,106,0.2427677851528232,0.010800896678214796
Haihong Zhang,43/3254,0,168,0.2605704847847978,0.017118402282453638
Guang-Bin Huang,95/5912,0,77,0.255264944536306,0.007845934379457917
Van Tung Pham,148/9588,0,202,0.2501510197483471,0.020582840839616874
Chenglin Xu,125/2814,0,148,0.2471287675425011,0.015080497248828205
Wei Rao,68/2031,0,119,0.2467854922770335,0.012125534950071327
Haizhou Li 0001,36/4118,0,828,0.2886974348346912,0.08436926839209292
Haihua Xu,26/1181,0,316,0.2511614043502873,0.03219889953128184
Chongjia Ni,48/9230,0,139,0.2497792347420933,0.01416343998369676
Bin Ma,70/6176,0,331,0.2794469732565348,0.033727328306500916
Cheung-Chi Leung,15/2133,0,106,0.2495286536478496,0.010800896678214796
Xiaohai Tian,153/0728,0,89,0.282301450442839,0.009068677399633178
Kong-Aik Lee,35/4621,0,129,0.2469913429021454,0.013144487466884043
Tomi Kinnunen,94/4754,0,93,0.2467071632177906,0.009476258406358264
Hanwu Sun,22/1460,0,118,0.2506349878639425,0.012023639698390055
Lei Xie 0001,70/1741-1,0,139,0.2486108287583725,0.01416343998369676
Xiong Xiao,96/6014,0,406,0.2531140981358902,0.04136947218259629
Nancy F. Chen,84/8761,0,86,0.2496288257288002,0.008762991644589362
Lei Wang 0020,w/LeiWang20,0,108,0.2496087848789504,0.011004687181577339
Soujanya Poria,116/4904,0,296,0.246844271720234,0.03016099449765641
Alexander F. Gelbukh,g/AlexanderFGelbukh,0,112,0.2427772634562298,0.011412268188302425
Adrian David Cheok,c/AdrianDavidCheok,0,221,0.228545062073817,0.022518850621561035
Wei Zhang 0012,10/4661-12,0,178,0.2713972612126577,0.018137354799266356
Bertil Schmidt,80/1737,0,92,0.2444954998979441,0.009374363154676992
Jiawen Kang,145/4239,0,144,0.2210384632768524,0.014672916242103118
Zehui Xiong,174/9863,0,442,0.2387595626211186,0.04503770124312207
Dong In Kim,86/1369,0,523,0.2306302963023668,0.053291216629305076
Yang Zhang 0025,06/6785-25,0,163,0.2409335522067656,0.01660892602404728
Wei Yang Bryan Lim,249/5315,0,108,0.226077224101233,0.011004687181577339
Shaohan Feng,199/1893,0,165,0.1921052256450435,0.016812716527409823
Xiao Lu 0001,37/4424-1,0,230,0.2382746694602603,0.02343590788669248
Ping Wang 0001,37/1304-1,0,1044,0.2862652632770653,0.10637864275524761
Ekram Hossain,45/1224,0,240,0.2375101810054778,0.024454860403505196
Dinh Thai Hoang,37/8852,0,391,0.2373107678091979,0.039841043407377215
Zhu Han,83/514,0,598,0.2516085639275072,0.06093336050540045
Shimin Gong,92/3836,0,172,0.2379555353170218,0.017525983289178725
Yang Liu 0165,51/3710-165,0,158,0.2376190931600143,0.01609944976564092
Yuze Zou,172/5484,0,84,0.1937090448554379,0.008559201141226819
Jing Xu 0005,07/1951-5,0,85,0.1917025017388912,0.00866109639290809
Mohammad Abu Alsheikh,146/0878,0,124,0.1924858086644301,0.012635011208477685
Yong Xiao,28/6937,0,83,0.1916552334382621,0.008457305889545547
Nguyen H. Tran,03/1312,0,80,0.2295490438519109,0.008151620134501733
Wenbo Wang 0004,28/4847-4,0,107,0.1925096451783045,0.010902791929896067
Mehdi Bennis,630289,0,88,0.2372292861629946,0.008966782147951905
Siwei Jiang,1095942,0,86,0.2843150312699197,0.008762991644589362
Amir Hussain,1779523,0,178,0.2197806541867039,0.018137354799266356
Navonil Majumder,198/3608,0,90,0.2189911621378557,0.009170572651314449
Iti Chaturvedi,68/6526,0,88,0.235192482654579,0.008966782147951905
Devamanyu Hazarika,188/5874,0,100,0.1831645718255151,0.010189525168127165
Meng-Hiot Lim,43/5957,0,164,0.2553592891012449,0.016710821275728552
Zhuo Zhang 0001,16/1234-1,0,150,0.2734139756806232,0.015284287752190748
Kai Keng Ang,8980,0,393,0.2627061279638535,0.040044833910739756
Ngan Meng Tan,51/1764,0,77,0.2452960177082609,0.007845934379457917
Tien Yin Wong,69/6707,0,105,0.2530419975951987,0.010699001426533523
Kok Soon Phua,73/9801,0,125,0.2492485990421843,0.012736906460158957
Lei Zhang 0006,64/5666-6,0,88,0.2307758043757437,0.008966782147951905
Chuanchu Wang,40/3865,0,142,0.2443225825666737,0.014469125738740575
Zhongkang Lu,224657,0,241,0.2662265722868696,0.024556755655186467
Kay Chen Tan,t/KayChenTan,0,121,0.2636305612797055,0.01232932545343387
Shi-Qing Xin,72/3380,0,152,0.2392188216090026,0.015488078255553291
Hong Qin,79/627,0,128,0.2264147265112297,0.013042592215202771
Zhongke Wu,60/657,0,88,0.2839255764076715,0.008966782147951905
Xianfeng Gu,g/XianfengGu,0,118,0.2342621326440783,0.012023639698390055
Feng Tian 0006,78/3204-6,0,82,0.2216925398019328,0.008355410637864276
Alvis Cheuk M. Fong,62/6025,0,100,0.1908727990946164,0.010189525168127165
David Zhang 0001,z/DavidZhang,0,90,0.2009973187091319,0.009170572651314449
Jie Zheng 0002,94/190-2,0,94,0.2565286323805451,0.009578153658039535
Geok See Ng,n/GeokSeeNg,0,84,0.2748764056628244,0.008559201141226819
Ming Gu 0001,76/2502-1,0,76,0.2266375350404349,0.0077440391277766455
Jiaguang Sun 0001,s/JiaGuangSun-1,0,76,0.2302715912051701,0.0077440391277766455
Siu Leung Chung,76/393,0,86,0.202048805852106,0.008762991644589362
Guiyuan Jiang,32/10216,0,111,0.1881924232463051,0.011310372936621153
Jigang Wu,21/1136,0,200,0.2324233403941247,0.02037905033625433
Duvindu Piyasena,228/2441,0,82,0.1928081004900441,0.008355410637864276
Yaochu Jin,j/YaochuJin,0,125,0.2472761780293639,0.012736906460158957
Pengfei Zhou,116/0674,0,77,0.2378827103635965,0.007845934379457917
Zhenjiang Li,35/203,0,163,0.2433377963882137,0.01660892602404728
Yuanqing Zheng,2935668,0,88,0.2186600340707649,0.008966782147951905
Yunhao Liu,27/2403,0,182,0.2295066822508457,0.018544935805991442
Hongxu Chen,147/5824,0,93,0.2483030806574457,0.009476258406358264
Jin Song Dong,33/6517,0,433,0.2608875204071497,0.04412064397799063
Sen Chen,180/8218,0,167,0.2046622798573022,0.017016507030772367
Guozhu Meng,134/8681,0,157,0.2437288460355275,0.01599755451395965
David Sanán,22/111,0,96,0.2362558529219002,0.009781944161402078
Ting Su,42/6896,0,133,0.2454800066678936,0.01355206847360913
Yuekang Li,204/3729,0,77,0.2497692018358135,0.007845934379457917
Fuyuan Zhang,2095611,0,96,0.19183852807134,0.009781944161402078
Bihuan Chen 0001,61/9197,0,141,0.2605486486593654,0.014367230487059303
Jinjian Wu,2248435,0,120,0.2449771125912782,0.012227430201752598
Leida Li,92/6630,0,109,0.2264889473285162,0.01110658243325861
Ke Gu 0001,13/9079-1,0,197,0.2502617639515601,0.020073364581210517
Xinfeng Zhang,2092080,0,105,0.2501812129915274,0.010699001426533523
Siwei Ma,40/5402,0,138,0.2501711477673163,0.014061544732015489
Ling Shao 0001,75/1281,0,88,0.2348549325416178,0.008966782147951905
Ee Ping Ong,o/EePingOng,0,225,0.2605049873860248,0.02292643162828612
Susu Yao,89/3136,0,202,0.2544189701282441,0.020582840839616874
Nan Guan,45/5411,0,128,0.2204585566512236,0.013042592215202771
Mengquan Li,172/2695,0,106,0.2269352961170911,0.010800896678214796
Lei Yang 0018,50/2484-18,0,111,0.2269270144115179,0.011310372936621153
Yaoyao Ye,55/7960,0,126,0.2269684289850864,0.012838801711840228
Edwin Hsing-Mean Sha,27/2376,0,111,0.2639326845884726,0.011310372936621153
Duo Liu,91/620,0,85,0.2270264347902305,0.00866109639290809
Jiang Xu 0001,20/4396-1,0,144,0.2225016656136406,0.014672916242103118
Xuan Wang 0001,34/4799-1,0,80,0.2223982134801292,0.008151620134501733
Xiaowen Wu,21/1340,0,107,0.2224539065182418,0.010902791929896067
Mahdi Nikdast,2342848,0,78,0.2223982134801292,0.00794782963113919
Kelvin C. K. Chan,228/2769,0,123,0.2345095055402177,0.012533115956796414
Xiangyu Xu,172/1282,0,80,0.2307758043757437,0.008151620134501733
Seungjun Nah,177/3248,0,179,0.2482931659840446,0.018239250050947627
Radu Timofte,24/8616,0,179,0.2482931659840446,0.018239250050947627
Sungyong Baik,243/2775,0,103,0.2369942087394013,0.01049521092317098
Seokil Hong,243/2738,0,103,0.2369942087394013,0.01049521092317098
Gyeongsik Moon,185/6852,0,103,0.2369942087394013,0.01049521092317098
Sanghyun Son,68/6424,0,179,0.2482931659840446,0.018239250050947627
Kyoung Mu Lee,17/4029,0,179,0.2482931659840446,0.018239250050947627
Jiahui Yu,185/1060,0,179,0.2482931659840446,0.018239250050947627
Munchurl Kim,84/4965,0,120,0.2466191024392962,0.012227430201752598
Se Young Chun,85/2542,0,103,0.2369942087394013,0.01049521092317098
Muhammad Haris,142/1614,0,103,0.2369942087394013,0.01049521092317098
Greg Shakhnarovich,17/1926,0,103,0.2369942087394013,0.01049521092317098
Norimichi Ukita,46/5881,0,103,0.2369942087394013,0.01049521092317098
Kuldeep Purohit,191/2655,0,103,0.2369942087394013,0.01049521092317098
A. N. Rajagopalan 0001,73/3473,0,103,0.2369942087394013,0.01049521092317098
Tiantong Guo,198/9637,0,120,0.2466191024392962,0.012227430201752598
Vishal Monga,73/1467,0,120,0.2466191024392962,0.012227430201752598
Yapeng Tian,176/4020,0,135,0.2362558529219002,0.013755858976971673
