author,author-pid,top_venue_count,total_weight,closeness_centrality,normalized_degree_centrality
Liqiang Nie,92/8277,4,62,0.2973265244818264,0.006317505604238842
Jun Xiao 0001,71/2308-1,4,62,0.267383435085634,0.006317505604238842
Tao Xiang,22/4460,4,55,0.2801664355062413,0.005604238842469941
Kaiyu Feng,140/7434,4,51,0.3016579300256004,0.005196657835744854
Long Chen 0016,64/5725-16,4,50,0.30191556857003415,0.005094762584063582
Zongyang Ma,117/4275,4,48,0.2833018489896388,0.004890972080701039
Fumin Shen,92/10934,4,46,0.26615397026002313,0.004687181577338496
Shenghua Gao,63/7642,4,41,0.2723120942005062,0.004177705318932138
Yulei Niu,165/2982,4,39,0.26196273554943894,0.003973914815569595
Sheng Yang,69/4104,4,35,0.27955713720838277,0.003566333808844508
Chen Huang,22/5390,4,34,0.2433734939759036,0.0034644385571632364
Ba Quan Truong,99/11145,4,27,0.27004610809483537,0.0027511717953943348
Minh-Tri Pham,86/4091,4,11,0.2590828185530311,0.0011208477684939882
Ee-Peng Lim,l/EePengLim,3,474,0.3128120852032109,0.04829834929692276
Chao Dong,16/1278,3,260,0.2841313583649099,0.02649276543713063
Ke Yu,23/2089,3,241,0.2841232023423372,0.024556755655186467
Nadia Magnenat-Thalmann,t/NadiaMagnenatThalmann,3,220,0.3416637901277183,0.022416955369879765
Ivor W. Tsang,35/5873,3,164,0.33188036480686695,0.016710821275728552
Xiaoli Li 0001,l/XiaoliLi,3,164,0.3135056379070062,0.016710821275728552
Han Hu 0003,59/3754-3,3,156,0.3361635647330526,0.01589565926227838
Wanli Ouyang,17/7992,3,156,0.2720875254274562,0.01589565926227838
Bingsheng He,h/BingshengHe,3,146,0.3315246516613076,0.014876706745465661
Alex C. Kot,k/AlexChiChungKot,3,139,0.34179357021996615,0.01416343998369676
Junsong Yuan,42/3332,3,134,0.32450331125827814,0.013653963725290402
Jiaqi Wang,44/740,3,111,0.2545061839500141,0.011310372936621153
Xiaoxiao Li,71/8042,3,99,0.2545061839500141,0.010087629916445894
Philip S. Yu,y/PhilipSYu,3,97,0.3209260099863822,0.00988383941308335
Jiazhi Xia,72/7440,3,84,0.2859784461587357,0.008559201141226819
Chen Qian 0006,70/3604-6,3,82,0.2502465046899097,0.008355410637864276
Wayne Wu,50/8731,3,79,0.25782084342684486,0.00804972488282046
Huaizheng Zhang,218/5222,3,78,0.2886808411351241,0.00794782963113919
Yusen Li,28/6239,3,77,0.26353905958783747,0.007845934379457917
Qian Sun,26/3470,3,74,0.2802140248563259,0.007540248624414102
Yihao Huang,255/5085,3,73,0.26013140604467805,0.007438353372732831
Run Wang,95/8501,3,71,0.26013140604467805,0.0072345628693702875
Minh C. Phan,204/0140,3,59,0.2866908037653874,0.0060118198491950275
Qianru Sun,127/6132,3,48,0.2715426188581932,0.004890972080701039
Thomas Laurent 0001,47/8889-1,3,46,0.1805841893050665,0.004687181577338496
Xifeng Yan,y/XifengYan,3,44,0.24140874612814323,0.004483391073975953
Changsheng Xu,85/1301,3,42,0.2901192953659466,0.0042796005706134095
Curtis E. Dyreson,d/CEDyreson,3,41,0.27023780271384495,0.004177705318932138
