author,author-pid,year,Position,Gender,Management,Area,top_venue_count,co-author-pid,weight,paper-list,Faculty-co-author,Position-co-author,Gender-co-author,Management-co-author,Area-co-author
Jun Luo 0001,42/2501-1,2019.0,Associate Professor,M,N,Computer Networks,0.0,78/5155,1.0,['journals/tmc/WangLPS19'],Sun Aixin,Associate Professor,M,N,Information Retrieval
Sinno Jialin Pan,80/5412,2019.0,Associate Professor,M,N,AI/ML,1.0,78/5155,1.0,['journals/tmc/WangLPS19'],Sun Aixin,Associate Professor,M,N,Information Retrieval
Xueyan Tang,23/2460,2019.0,Associate Professor,M,N,Distributed Systems,0.0,78/5155,2.0,"['conf/sigmod/TangHXLTSL19', 'journals/corr/abs-1907-09668']",Sun Aixin,Associate Professor,M,N,Information Retrieval
Bu-Sung Lee,l/BuSungLee,2019.0,Associate Professor,M,N,Computer Networks,0.0,95/3115,3.0,"['journals/mva/LiuLRSM19', 'conf/icaiic/LiuLR19', 'conf/percom/WongYHLLR19']",Deepu Rajan,Associate Professor,M,N,Computer Vision
Chai Quek,q/HiokChaiQuek,2019.0,Associate Professor,M,N,AI/ML,0.0,95/3115,1.0,['journals/tits/PrasadPRRRQ19'],Deepu Rajan,Associate Professor,M,N,Computer Vision
Deepu Rajan,95/3115,2019.0,Associate Professor,M,N,Computer Vision,0.0,l/BuSungLee,3.0,"['journals/mva/LiuLRSM19', 'conf/icaiic/LiuLR19', 'conf/percom/WongYHLLR19']",Lee Bu Sung Francis,Associate Professor,M,N,Computer Networks
Deepu Rajan,95/3115,2019.0,Associate Professor,M,N,Computer Vision,0.0,q/HiokChaiQuek,1.0,['journals/tits/PrasadPRRRQ19'],Quek Hiok Chai,Associate Professor,M,N,AI/ML
Dusit Niyato,76/440,2019.0,Professor,M,N,Computer Networks,0.0,33/885,1.0,['journals/access/WangHHXNWWK19'],Wen Yonggang,Professor,M,N,Multimedia
Rui Tan,00/5179,2019.0,Assistant Professor,M,N,Computer Architecture,0.0,33/885,2.0,"['conf/icdcs/YiZWT19', 'conf/sensys/LeLWTWW19']",Wen Yonggang,Professor,M,N,Multimedia
Yonggang Wen 0001,33/885,2019.0,Professor,M,N,Multimedia,0.0,76/440,1.0,['journals/access/WangHHXNWWK19'],Dusit Niyato,Professor,M,N,Computer Networks
Jun Luo 0001,42/2501-1,2019.0,Associate Professor,M,N,Computer Networks,0.0,76/440,2.0,"['journals/cm/NieLXNWG19', 'journals/twc/NieLXNW19']",Dusit Niyato,Professor,M,N,Computer Networks
Jun Zhao 0007,47/2026-7,2019.0,Assistant Professor,M,N,Computer Networks,0.0,76/440,9.0,"['journals/tvt/KangXNYKZ19', 'conf/globecom/XiongZNWZ19', 'conf/smartgridcomm/Jiao0NZLK19', 'journals/corr/abs-1906-10893', 'journals/corr/abs-1907-08927', 'journals/corr/abs-1910-09172', 'journals/corr/abs-1910-14383', 'journals/corr/abs-1911-03298', 'journals/corr/abs-1912-05744']",Dusit Niyato,Professor,M,N,Computer Networks
Han Yu 0001,35/1096-1,2019.0,Assistant Professor,M,N,AI/ML,0.0,76/440,2.0,"['conf/apwcs2/KangXN0LK19', 'journals/corr/abs-1905-07479']",Dusit Niyato,Professor,M,N,Computer Networks
Rui Tan,00/5179,2019.0,Assistant Professor,M,N,Computer Architecture,0.0,76/440,1.0,['journals/corr/abs-1906-10893'],Dusit Niyato,Professor,M,N,Computer Networks
Chunyan Miao,m/ChunyanMiao,2019.0,Professor,F,Y,AI/ML,0.0,76/440,1.0,['journals/corr/abs-1909-11875'],Dusit Niyato,Professor,M,N,Computer Networks
Kwok-Yan Lam,10/1993,2019.0,Professor,M,N,Cyber Security,0.0,76/440,1.0,['journals/corr/abs-1911-03298'],Dusit Niyato,Professor,M,N,Computer Networks
Dusit Niyato,76/440,2019.0,Professor,M,N,Computer Networks,0.0,42/2501-1,2.0,"['journals/cm/NieLXNWG19', 'journals/twc/NieLXNW19']",Luo Jun,Associate Professor,M,N,Computer Networks
