author,author-pid,paper,top_venue_count,co-author-pid,total_weight,weight,closeness_centrality,normalized_degree_centrality,year,conference,title,Faculty,Position,Gender,Management,Area
Francesco Bonchi,b/FBonchi,conf/edbt/KhanBGG14,1,g/AristidesGionis,18,1,0.256897402,0.000190838,2014,,,,,,,
Lorenzo Severini,163/9777,journals/corr/abs-1904-07262,1,b/FBonchi,4,2,0.225348906,4.24E-05,2019,,,,,,,
Lorenzo Severini,163/9777,journals/corr/abs-1904-07262,1,67/2933,4,2,0.225348906,4.24E-05,2019,,,,,,,
Xiangyu Ke,194/2946,journals/corr/abs-1903-08587,1,87/5931,16,1,0.261278146,0.000169633,2019,,,,,,,
Xiangyu Ke,194/2946,journals/corr/abs-1903-08587,1,238/0393,16,1,0.261278146,0.000169633,2019,,,,,,,
Lei Chen 0002,c/LeiChen0002,series/synthesis/2018Khan2,1,33/6315,41,1,0.279036987,0.000434686,2018,,,,,,,
Lei Chen 0002,c/LeiChen0002,journals/pvldb/KhanC15,1,67/2933,41,2,0.279036987,0.000434686,2015,,,,,,,
Xiangyu Ke,194/2946,journals/pvldb/KeTKY18,1,25/1477,16,1,0.261278146,0.000169633,2018,,,,,,,
Francesco Bonchi,b/FBonchi,journals/corr/KhanBGN16,1,185/1134,18,2,0.256897402,0.000190838,2016,,,,,,,
Siyuan Liu,00/4516,conf/bigdataconf/LiuK18,1,67/2933,122,1,0.330903985,0.001293455,2018,,,,,,,
Shanshan Feng,149/1281,conf/icde/FengCKLLC18,1,152/8201,40,1,0.310097434,0.000424084,2018,,,,,,,
Shanshan Feng,149/1281,conf/icde/FengCKLLC18,1,29/4867,40,1,0.310097434,0.000424084,2018,,,,,,,
Shanshan Feng,149/1281,conf/icde/FengCKLLC18,1,67/2933,40,1,0.310097434,0.000424084,2018,,,,,,,
Shanshan Feng,149/1281,conf/aaai/FengCCZCX14,1,c/YeowMengChee,40,4,0.310097434,0.000424084,2014,,,,,,,
Shanshan Feng,149/1281,conf/aaai/FengCCZCX14,1,33/3180,40,8,0.310097434,0.000424084,2014,,,,,,,
Shanshan Feng,149/1281,conf/aaai/FengCCZCX14,1,50/1401,40,2,0.310097434,0.000424084,2014,,,,,,,
Shanshan Feng,149/1281,conf/aaai/FengCCZCX14,1,1931008,40,1,0.310097434,0.000424084,2014,,,,,,,
Shanshan Feng,149/1281,conf/aaai/FengCCZCX14,1,21/6849,40,1,0.310097434,0.000424084,2014,,,,,,,
Xiucheng Li,152/8201,conf/icde/FengCKLLC18,1,149/1281,17,1,0.27648817,0.000180236,2018,,,,,,,
Xiucheng Li,152/8201,conf/icde/FengCKLLC18,1,29/4867,17,1,0.27648817,0.000180236,2018,,,,,,,
Xiucheng Li,152/8201,conf/icde/FengCKLLC18,1,c/YeowMengChee,17,1,0.27648817,0.000180236,2018,,,,,,,
Xiucheng Li,152/8201,conf/icde/FengCKLLC18,1,67/2933,17,1,0.27648817,0.000180236,2018,,,,,,,
